senior
principal
chief
head of
director
vp
vice president
teamleiter
leitung
fachleiter
abteilungsleiter
bereichsleiter
architect
architekt
professur
professor
postdoc
doktorand
phd
research scientist
research associate
research engineer
wissenschaftliche
dozent
datenschutz
dsgvo
gdpr
privacy
data protection
it compliance
product owner
pmo
project manager
projektmanager
program manager
data center
datacenter
technician
technician
werkstudent
data engineer
studentische hilfskraft
hilfskraft
doctoral
working student
physiker
chemik
mathematik
pflichtpraktikum
program coordinator
hotline
